item,n_a,n_b,delta,ci_lo,ci_hi,p_mw,q_bh
satisfaction,20,20,-0.17,-0.368719696969697,0.4110540775014459,0.35360750981795697,0.7956168970904032
would_use_again,20,20,-0.085,-0.3508771929824561,0.39389034526854216,0.6503558207525973,0.865144547855434
agent_represented,20,20,0.0275,-0.3425233585858586,0.3633025979270425,0.888083064581301,0.888083064581301
control,20,20,-0.065,-0.34839498746867165,0.39860050125313273,0.7314463338511741,0.865144547855434
emot_pleasant,20,20,0.055,-0.3599154135338346,0.3961527255639096,0.7690173758714969,0.865144547855434
emot_anxious,20,20,0.265,-0.35306905370843994,0.3726541666666665,0.15032222878194074,0.6764500295187333
effort_invested,20,20,-0.3875,-0.37593984962406013,0.3533459595959595,0.03231790455097552,0.29086114095877963
engage_engaged,20,20,-0.165,-0.33258593750000004,0.33502098997493734,0.3420379772163513,0.7956168970904032
outfair_share,20,20,-0.1,-0.3542097431077694,0.3689935064935062,0.59053971134825,0.865144547855434
