item,n_a,n_b,delta,ci_lo,ci_hi,p_mw,q_bh
satisfaction,20,20,-0.3775,-0.35384483937115513,0.3560380652485914,0.03782471718477209,0.1395835919876226
would_use_again,20,20,-0.245,-0.3659147869674185,0.38097273097273093,0.1827507830366899,0.4111892618325523
agent_represented,20,20,-0.115,-0.35997214103032515,0.3434797932330826,0.5265468782686518,0.6769888434882666
control,20,20,-0.365,-0.3676432291666667,0.378484962406015,0.0465278639958742,0.1395835919876226
emot_pleasant,20,20,-0.2025,-0.37506510416666666,0.3621368486253196,0.26326537535363903,0.47387767563655026
emot_anxious,20,20,0.09,-0.3400839598997494,0.38555568609022545,0.6316080441574798,0.7105590496771648
effort_invested,20,20,0.3675,-0.36573971815340106,0.3646484374999999,0.04243142681545891,0.1395835919876226
engage_engaged,20,20,-0.005,-0.34837377534745956,0.3410329801777169,0.9883372311333604,0.9883372311333604
outfair_share,20,20,-0.1725,-0.3709891737015172,0.35044757033248075,0.3481696003797612,0.5222544005696418
