Contrast,n,U,p,Cliff δ,95% CI,band,q (BH)
Mode | Buyer (X1 vs X3),10/10,82,p = .019,.63,"[.30, 1.08]",large,.028
Mode | Seller (X2 vs X4),10/10,100,p < .001,.99,"[.98, 1.04]",large,.001
Role | Delegated (X1 vs X2),10/10,32,p = .181,−.36,"[−.90, .11]",medium,.217
Role | Direct (X3 vs X4),10/10,52,p = .909,.04,"[−.47, .58]",negligible,.909
Diagonal (X1 vs X4),10/10,91,p = .002,.82,"[.65, 1.11]",large,.004
Diagonal (X2 vs X3),10/10,92,p = .002,.83,"[.66, 1.12]",large,.004
