Measure,X1,X2,X3,X4,N
n_decisions,15.2,16.7,11.1,10.8,40
n_request_turn,14.1,15.7,10.1,9.5,40
orch_tokens,60448.7,72366.1,27723.9,21951.2,40
rationale_len,23.5,19.19,35.2,27.92,40
