Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
opening_spread,2512.82 (4280.44),3800.00,1157.89,3368.42,1700.00
rounds_to_close,6.75 (2.54),8.20,5.30,6.85,6.65
