Contrast,n,U,p,Cliff δ,95% CI,band,q (BH)
Mode | Buyer (X1 vs X3),10/10,50,p = 1.000,.00,"[.00, .00]",negligible,1.000
Mode | Seller (X2 vs X4),10/10,50,p = 1.000,.00,"[.00, .00]",negligible,1.000
Role | Delegated (X1 vs X2),10/10,50,p = 1.000,.00,"[.00, .00]",negligible,1.000
Role | Direct (X3 vs X4),10/10,50,p = 1.000,.00,"[.00, .00]",negligible,1.000
Diagonal (X1 vs X4),10/10,50,p = 1.000,.00,"[.00, .00]",negligible,1.000
Diagonal (X2 vs X3),10/10,50,p = 1.000,.00,"[.00, .00]",negligible,1.000
