Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
settlement_price,23205.56 (838.65),23192.31,23217.86,23825.00,22841.18
buyer_share,0.32 (0.38),0.31,0.33,0.17,0.38
settle_vs_mid,205.56 (838.65),192.31,217.86,825.00,-158.82
