Contrast,n,U,p,Cliff δ,95% CI,band,q (BH)
Mode | Buyer (X1 vs X3),10/10,7,p = .001,−.86,"[−1.18, −.72]",large,.008
Mode | Seller (X2 vs X4),10/10,38,p = .405,−.23,"[−.79, .24]",small,.607
Role | Delegated (X1 vs X2),10/10,50,p = 1.000,.00,"[−.56, .54]",negligible,1.000
Role | Direct (X3 vs X4),10/10,80,p = .028,.59,"[.18, 1.07]",large,.056
Diagonal (X1 vs X4),10/10,42,p = .545,−.17,"[−.70, .30]",small,.654
Diagonal (X2 vs X3),10/10,20,p = .023,−.61,"[−1.07, −.28]",large,.056
