Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
n_screen_revisits,9.20 (1.49),10.00,8.40,9.00,9.40
n_resize,0.25 (0.71),0.10,0.40,0.45,0.05
n_focus,9.82 (4.34),7.50,12.15,10.15,9.50
