Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
opening_anchor,22112.50 (4595.83),23375.00,20850.00,20725.00,23500.00
anchor_distance,1612.50 (4340.46),275.00,2950.00,1075.00,2150.00
opening_spread,2512.82 (4280.44),3800.00,1157.89,3368.42,1700.00
n_proposals,6.75 (2.54),8.20,5.30,6.85,6.65
n_messages,5.60 (2.22),6.70,4.50,5.25,5.95
n_concessions,2.23 (1.49),3.05,1.40,2.20,2.25
mean_concession,1281.07 (1242.17),712.08,2039.72,1518.75,1029.41
rounds_to_close,6.75 (2.54),8.20,5.30,6.85,6.65
