Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
ai_opening,22884.62 (2841.10),23575.00,22157.89,24026.32,21800.00
ai_n_moves,3.10 (1.43),3.95,2.25,3.10,3.10
