Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
turns_consumed,12.35 (3.63),14.90,9.80,12.10,12.60
session_sec,277.21 (184.51),156.02,398.39,310.66,243.75
study_sec,658.47 (247.56),661.79,655.15,666.72,650.23
tokens_total,59577.78 (35597.39),89738.00,29417.55,57368.10,61787.45
tokens_orchestrator,45622.47 (25546.77),66407.40,24837.55,44086.30,47158.65
