Measure,X1,X2,X3,X4,N
msg_words,103.93,121.03,19.23,16.62,40
questions,0.5,0.44,0.42,0.07,40
politeness,0.86,1.06,0.19,0.15,40
threats,0.11,0.01,0.09,0.04,40
standards_appeal,0.38,0.49,0.04,0.02,40
price_refs,1.56,2.47,0.78,0.62,40
