Measure,X1,X2,X3,X4,N
active_s,639.98,719.76,705.25,521.19,40
idle_s,198.0,198.37,160.37,88.84,40
scroll_depth,88.71,86.74,90.74,97.65,40
n_clicks,42.3,42.5,52.8,46.1,40
n_tab_away,1.2,0.4,2.7,1.1,40
integrity_attempts,2.0,2.9,5.1,0.7,40
n_likert_changes,9.8,9.9,10.9,9.8,40
