Contrast,n,U,p,Cliff δ,95% CI,band,q (BH)
Mode | Buyer (X1 vs X3),0/10,NA,p = NA,NA,"[NA, NA]",NA,NA
Mode | Seller (X2 vs X4),0/10,NA,p = NA,NA,"[NA, NA]",NA,NA
Role | Delegated (X1 vs X2),0/0,NA,p = NA,NA,"[NA, NA]",NA,NA
Role | Direct (X3 vs X4),10/10,58,p = .597,.15,"[−.34, .68]",small,.597
Diagonal (X1 vs X4),0/10,NA,p = NA,NA,"[NA, NA]",NA,NA
Diagonal (X2 vs X3),0/10,NA,p = NA,NA,"[NA, NA]",NA,NA
