Measure,Overall M(SD),Delegated,Direct,Buyer,Seller
satisfaction,5.05 (1.71),4.90,5.20,4.50,5.60
would_use_again,4.45 (2.16),4.35,4.55,3.95,4.95
agent_represented,5.67 (1.23),5.60,5.75,5.50,5.85
control,4.45 (1.93),4.40,4.50,3.85,5.05
emot_pleasant,5.05 (1.69),5.25,4.85,4.80,5.30
emot_anxious,3.60 (2.01),4.05,3.15,3.75,3.45
effort_invested,4.70 (1.70),4.20,5.20,5.20,4.20
engage_engaged,6.12 (1.09),5.90,6.35,6.10,6.15
outfair_share,4.90 (1.88),4.80,5.00,4.65,5.15
