dv,n,mode_p,mode_eta2,role_p,role_eta2,inter_p,mw_mode_p,mw_mode_delta,ci_lo,ci_hi,mw_role_p,mw_role_delta,kw_p,kw_eps2
alternation_rate,40,0.0013,0.2639,0.927,0.0002,0.0764,0.0014,-0.525,-0.7527,-0.2547,0.9391,-0.015,0.0038,0.3447
longest_same_streak,40,0.0014,0.2604,0.5239,0.0104,0.2024,0.0015,0.5,0.2,0.75,0.5343,-0.1,0.0068,0.3125
declare_turn,39,0.0,0.4964,0.7779,0.0021,0.3142,0.0,0.8105,0.6026,0.9501,0.7888,-0.0526,0.0002,0.5268
declare_latency_s,39,0.0561,0.0961,0.9105,0.0003,0.5672,0.0579,0.3579,-0.0317,0.6791,0.9217,0.0211,0.2637,0.1047
rationale_len,40,0.2851,0.0293,0.0498,0.0987,0.1367,0.2913,0.1975,-0.14,0.545,0.0514,0.3625,0.0656,0.1848
orch_tokens_per_turn,40,0.0,0.7281,0.8711,0.0007,0.3438,0.0,0.985,0.94,1.0,0.8817,-0.03,0.0,0.7518
