dv,n,mode_p,mode_eta2,role_p,role_eta2,inter_p,mw_mode_p,mw_mode_delta,ci_lo,ci_hi,mw_role_p,mw_role_delta,kw_p,kw_eps2
total_active_s,40,0.3438,0.023,0.4819,0.0127,0.0884,0.3507,0.175,-0.195,0.525,0.4903,0.13,0.2313,0.1101
engine_dwell_s,40,0.0,0.445,0.6652,0.0048,0.1167,0.0,-0.77,-1.0,-0.5049,0.675,0.08,0.0002,0.5129
total_idle_s,40,0.0138,0.1554,0.6849,0.0042,0.7049,0.0143,0.455,0.115,0.755,0.6948,0.075,0.0949,0.1633
n_tab_away,40,0.6044,0.0069,0.2544,0.0333,0.7298,0.6165,-0.075,-0.3601,0.19,0.2617,0.165,0.64,0.0432
n_thumbnail_views,40,0.6033,0.0069,0.593,0.0073,0.5427,0.6137,-0.0875,-0.4101,0.2601,0.6033,0.09,0.8191,0.0238
n_zoom_opens,40,0.0184,0.1425,0.1505,0.053,0.1505,0.0196,-0.25,-0.45,-0.05,0.1573,0.1525,0.0214,0.2485
n_clicks,40,0.1014,0.0688,0.1014,0.0688,0.1937,0.1042,-0.3025,-0.6375,0.0626,0.1042,0.3025,0.0701,0.1809
mean_scroll_pct,40,0.1477,0.0537,0.447,0.0148,0.1738,0.1518,-0.2475,-0.5576,0.055,0.4558,-0.13,0.2102,0.116
