dv,n,mode_p,mode_eta2,role_p,role_eta2,inter_p,mw_mode_p,mw_mode_delta,ci_lo,ci_hi,mw_role_p,mw_role_delta,kw_p,kw_eps2
median_latency_ms,40,0.0,0.5295,0.2134,0.0397,0.0231,0.0,-0.84,-0.995,-0.5949,0.2184,0.23,0.0,0.7016
mean_latency_ms,40,0.0,0.6491,0.5885,0.0075,0.304,0.0,-0.93,-1.0,-0.76,0.5979,0.1,0.0,0.6837
negotiation_duration_s,40,0.0,0.4684,0.7868,0.0019,0.0834,0.0,-0.79,-1.0,-0.535,0.7972,0.05,0.0001,0.5471
time_to_deal_s,27,0.0031,0.337,0.96,0.0001,0.0901,0.0033,-0.6703,-1.0,-0.2525,0.98,0.0118,0.0087,0.4479
tokens_total,40,0.0,0.6916,0.6652,0.0048,0.2793,0.0,0.96,0.88,1.0,0.675,-0.08,0.0,0.7265
orch_token_share,40,0.0,0.7505,0.766,0.0023,0.4017,0.0,-1.0,-1.0,-1.0,0.7764,-0.055,0.0,0.7708
tokens_per_turn,40,0.0,0.743,0.9138,0.0003,0.4328,0.0,0.995,0.97,1.0,0.9246,-0.02,0.0,0.7591
