participant_id,session_id,cell,mode2,role,outcome_type,buyer_open,seller_open,opening_spread,anchor_distance,n_concessions,mean_concession,concession_rate,buyer_share_concession,n_proposal_rounds,dialogue_to_proposal_ratio,turns_to_first_proposal,turns_to_deal,n_final_offers,first_final_turn,held_after_final,settlement_price,zopa_low,zopa_high,zopa_mid,settlement_vs_mid,buyer_surplus,seller_surplus,buyer_share_of_surplus,pareto_efficient
69d3c90bc7bc3c12fd6d3d26,2cXfNzdcEQKsFCiZ8BAQ6,Human-to-AI · buyer,Human-to-AI,buyer,agreed,21500.0,25000.0,3500.0,0.0,3,1083.3333333333333,541.6666666666666,0.9285714285714286,6,0.16666666666666666,1,7.0,0,,,24750.0,22500.0,23500.0,23000.0,1750.0,-1250.0,2250.0,,False
628f7e982aad1788d940317a,VM0F8zCaC6J6PF_fK_tYO,Human-to-AI · buyer,Human-to-AI,buyer,agreed,21000.0,25000.0,4000.0,500.0,4,812.5,406.25,0.8125,8,0.125,1,9.0,0,,,24250.0,22500.0,23500.0,23000.0,1250.0,-750.0,1750.0,,False
672c1b00e4ed661368e89749,-MSyP4yr44Upsy3FojCLU,Human-to-AI · buyer,Human-to-AI,buyer,agreed,19500.0,19500.0,0.0,2000.0,2,2000.0,800.0,1.0,5,0.8,3,9.0,0,,,23500.0,22500.0,23500.0,23000.0,500.0,0.0,1000.0,0.0,True
5d9b7c7efaa2860364b16476,iUL_5S4zxeEaupCmuH5Gv,Human-to-AI · seller,Human-to-AI,seller,agreed,21500.0,22500.0,1000.0,3000.0,1,1000.0,200.0,0.3333333333333333,5,0.2,2,4.0,0,,,22000.0,22500.0,23500.0,23000.0,-1000.0,1500.0,-500.0,,False
69e56c8f8677d3d655d61941,Q5eXkoztygzucCyhByPkI,Human-to-AI · seller,Human-to-AI,seller,agreed,21500.0,22500.0,1000.0,3000.0,0,,0.0,1.0,3,2.3333333333333335,7,10.0,0,,,22500.0,22500.0,23500.0,23000.0,-500.0,1000.0,0.0,1.0,True
6752993adafe95d86087831b,nezxbmhuC1rAEuyptpDGI,Human-to-AI · seller,Human-to-AI,seller,agreed,22000.0,22000.0,0.0,3500.0,0,,0.0,1.0,5,1.2,4,5.0,0,,,23000.0,22500.0,23500.0,23000.0,0.0,500.0,500.0,0.5,True
69f38eadfdcfd0897d54490a,eNlAfaN8J0rnMjq24X8PO,Human-to-AI · seller,Human-to-AI,seller,agreed,22000.0,25000.0,3000.0,500.0,3,916.6666666666666,392.85714285714283,0.09836065573770492,7,0.8571428571428571,6,12.0,0,,,22300.0,22500.0,23500.0,23000.0,-700.0,1200.0,-200.0,,False
69d77d063e93f9c8eb4eb6d6,RYEUlzpHGMTBvTHUMotB_,Human-to-AI · seller,Human-to-AI,seller,agreed,22000.0,23500.0,1500.0,2000.0,1,500.0,125.0,0.6666666666666666,4,1.25,5,9.0,0,,,23000.0,22500.0,23500.0,23000.0,0.0,500.0,500.0,0.5,True
69e129bd8ad451d4d82ff01f,aJEtizgTMyOTcICXJ81FL,Human-to-AI · seller,Human-to-AI,seller,agreed,20500.0,23000.0,2500.0,2500.0,1,1500.0,375.0,0.4,4,1.0,3,8.0,0,,,21500.0,22500.0,23500.0,23000.0,-1500.0,2000.0,-1000.0,,False
6629435c4c384dcaf8ecce60,oSvr7iKMckwRaukSMfrm1,Human-to-AI · seller,Human-to-AI,seller,agreed,22000.0,25500.0,3500.0,0.0,1,3500.0,1166.6666666666667,0.0,3,1.6666666666666667,4,8.0,0,,,22000.0,22500.0,23500.0,23000.0,-1000.0,1500.0,-500.0,,False
5f35646c73508a4ff52b4ea3,wiRpB0wQhW3eBbx2mlmm5,Human-to-AI · seller,Human-to-AI,seller,agreed,22500.0,27000.0,4500.0,1500.0,1,3000.0,500.0,0.25,6,1.0,4,12.0,1,12.0,True,23500.0,22500.0,23500.0,23000.0,500.0,0.0,1000.0,0.0,True
69b98ed6a044387bc1f3609d,wZuK5Pf9xzgC6atpV-3Wx,Human-to-AI · seller,Human-to-AI,seller,agreed,22000.0,25000.0,3000.0,500.0,2,750.0,300.0,0.5,5,1.0,2,10.0,1,10.0,True,23500.0,22500.0,23500.0,23000.0,500.0,0.0,1000.0,0.0,True
